,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.KES.price,quote.KES.volume_24h,quote.KES.volume_change_24h,quote.KES.percent_change_1h,quote.KES.percent_change_24h,quote.KES.percent_change_7d,quote.KES.percent_change_30d,quote.KES.percent_change_60d,quote.KES.percent_change_90d,quote.KES.market_cap,quote.KES.market_cap_dominance,quote.KES.fully_diluted_market_cap,quote.KES.tvl,quote.KES.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
11,4943,Dai,DAI,multi-collateral-dai,2576,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-17T09:23:00.000Z,145.5157528494072,7345998024.938661,-38.2209,0.01740903,0.0397916,0.01836334,0.03288821,0.02759314,0.06616636,778202035164.7975,0.5057,778202035164.4158,,2023-09-17T09:23:05.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-17 12:25:05.858843
12,6636,Polkadot,DOT,polkadot-new,586,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1229376546.6874495,1356435903.9926293,True,,13,,,,2023-09-17T09:23:00.000Z,602.5705584560299,9721312958.300474,-34.2238,0.43032706,-1.02484285,-1.04822659,-8.14427328,-20.28137444,-8.71487891,740786112290.202,0.4814,817348340178.426,,2023-09-17T09:23:05.000Z,,,,,,2023-09-17 12:25:05.858843
13,3890,Polygon,MATIC,polygon,939,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-17T09:23:00.000Z,76.10631089303892,25191970158.293945,-13.4268,0.23142445,-0.83157274,-0.68424943,-9.64203016,-29.3320712,-12.32325708,709270410345.059,0.4609,761063108930.8053,,2023-09-17T09:23:05.000Z,,,,,,2023-09-17 12:25:05.858843
14,2,Litecoin,LTC,litecoin,999,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73662726.72743528,84000000.0,False,,15,,,,2023-09-17T09:23:00.000Z,9335.99544019271,32578412172.3522,-23.5457,0.5266652,-1.61527968,4.25469173,-1.92763541,-30.8006165,-16.88822177,687714880839.4974,0.4469,784223616975.8832,,2023-09-17T09:23:05.000Z,,,,,,2023-09-17 12:25:05.858843
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1373,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,162974.76175269,162974.76175269,False,,16,,,,2023-09-17T09:23:00.000Z,3863206.048628889,15983476008.210884,-43.7717,0.11343711,0.03993485,2.7914633,-0.0775335,-11.43952052,0.63842222,629605085376.8442,0.4091,629605085377.3428,,2023-09-17T09:23:05.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-09-17 12:25:05.858843
16,5994,Shiba Inu,SHIB,shiba-inu,659,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,17,,,,2023-09-17T09:23:00.000Z,0.001060843414340886,8761384195.961588,-18.8406,-0.05029538,-2.10589962,-1.80202587,-13.72554938,-5.59127089,1.05783191,625204793148.7329,0.4063,625461650505.1923,,2023-09-17T09:23:05.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-09-17 12:25:05.858843
17,1831,Bitcoin Cash,BCH,bitcoin-cash,773,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19506568.75,19506568.75,False,,18,,,,2023-09-17T09:23:00.000Z,30918.77004799692,22544967181.1012,-41.0871,0.51876384,-1.15925543,12.27285349,14.41329123,-13.30034658,99.2256909,603119113606.6926,0.3919,649294171008.4269,,2023-09-17T09:23:05.000Z,,,,,,2023-09-17 12:25:05.858843
18,1975,Chainlink,LINK,chainlink,1321,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,19,,,,2023-09-17T09:23:00.000Z,903.899269413488,13096315345.433088,-30.3259,0.11548155,-0.97910739,1.82097019,-0.40752316,-9.33423896,21.56202986,503336281465.1962,0.3271,903899269413.7771,,2023-09-17T09:23:05.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-09-17 12:25:05.858843
19,3957,UNUS SED LEO,LEO,unus-sed-leo,29,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,929286395.9,985239504.0,False,,20,,,,2023-09-17T09:23:00.000Z,535.2139732855824,84851002.5585168,-4.9235,0.64167474,0.72818644,-4.24877329,-6.04135168,-7.73647157,4.59978496,497367064269.8777,0.3232,527313949573.485,,2023-09-17T09:23:05.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2023-09-17 12:25:05.858843
0,1,Bitcoin,BTC,bitcoin,10469,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19488087.0,19488087.0,False,,1,,,,2023-09-17T09:28:00.000Z,3863887.315439765,961809493460.3438,-41.2826,0.10509651,0.0759117,2.67437199,0.09524745,-11.42990834,0.59167059,75299772161486.58,48.9254,81141633624234.34,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
1,1027,Ethereum,ETH,ethereum,7394,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120224406.72279915,120224406.72279915,True,,2,,,,2023-09-17T09:28:00.000Z,237499.13019615825,392058691989.9938,-37.6687,0.09389923,-0.20741,0.37687577,-3.30007795,-14.45531591,-5.26585395,28553192025013.96,18.5526,28553192025014.188,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
2,825,Tether USDt,USDT,tether,62379,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83041923535.66393,85437198726.47841,True,,3,,,,2023-09-17T09:28:00.000Z,145.5298032149115,1828006159678.0442,-35.942,0.00843798,-0.00667514,0.03250495,0.05745045,0.02109909,0.05526026,12085074790732.898,7.8524,12433658717897.488,,2023-09-17T09:29:05.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-17 12:30:06.679659
3,1839,BNB,BNB,bnb,1624,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153848317.95479125,153848317.95479125,False,,4,,,,2023-09-17T09:28:00.000Z,31282.314075477014,48422285362.83083,-47.388,0.13278309,0.51895597,0.91857294,-1.75002677,-11.00772507,-11.35654953,4812731402245.63,3.127,4812731402245.147,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
4,52,XRP,XRP,xrp,1086,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53175400720.0,99988428101.0,False,,5,,,,2023-09-17T09:28:00.000Z,72.29044182580351,73864173092.91014,-32.2993,0.177429,-0.78791877,-0.70976413,-2.22505151,-36.39033941,1.88076432,3844073212312.95,2.4977,7229044182580.788,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
5,3408,USD Coin,USDC,usd-coin,14109,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26164101929.672733,26164101929.672733,False,,6,,,,2023-09-17T09:28:00.000Z,145.51498779584676,228392697709.26624,-37.969,0.01126679,-0.00619198,-0.01166318,0.00853071,0.02468556,0.00741898,3807268972985.6187,2.4737,3807268972985.912,,2023-09-17T09:29:05.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-17 12:30:06.679659
6,74,Dogecoin,DOGE,dogecoin,799,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141041906383.70523,141041906383.70523,True,,7,,,,2023-09-17T09:28:00.000Z,9.053965663350432,20605278823.532085,-16.0709,-0.10935404,-0.14480567,0.28769003,-0.47369695,-9.49950819,0.50179817,1276988577491.5532,0.8297,1276988577491.0198,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
7,2010,Cardano,ADA,cardano,934,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35108286535.47,36167977941.125,False,,8,,,,2023-09-17T09:28:00.000Z,36.32756394433187,11628880582.263247,-37.7759,0.23189125,-0.44333456,-0.09242931,-5.18030208,-20.8360916,-3.51013419,1275398524093.212,0.8287,1634740377494.4233,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
8,11419,Toncoin,TON,toncoin,143,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,9,3414166606.0,8314321267.85059,,2023-09-17T09:28:00.000Z,354.30619976312937,11988340515.109083,19.7552,-0.14553232,12.71424217,38.55503291,81.31547735,77.35402128,73.93163162,1215940643561.7947,0.79,1788381280137.4175,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
9,5426,Solana,SOL,solana,525,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,411266547.81527364,557580259.3649158,True,,10,,,,2023-09-17T09:28:00.000Z,2760.3666578103825,17479061947.163082,-41.6049,0.01691977,-0.82063789,2.8629863,-14.04889023,-27.45142519,22.76186892,1135246466062.0608,0.7376,1539125957004.8616,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
10,1958,TRON,TRX,tron,839,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89188300636.23566,89188363624.80313,True,,11,71659659264.0,5986667511.827333,,2023-09-17T09:28:00.000Z,12.154778818878135,20823788793.533833,-23.8286,0.15127098,-0.22498154,6.25726713,14.67525122,4.94449347,19.91201023,1084064067465.0525,0.7044,1084064833077.8802,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
11,4943,Dai,DAI,multi-collateral-dai,2576,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-17T09:28:00.000Z,145.52354745179477,7297773577.125015,-38.6463,0.03502063,0.04304222,0.00768637,0.07646007,0.04672968,0.04704427,778243719830.0144,0.5057,778243719830.1853,,2023-09-17T09:29:05.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-17 12:30:06.679659
12,6636,Polkadot,DOT,polkadot-new,586,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1229376546.6874495,1356435903.9926293,True,,13,,,,2023-09-17T09:28:00.000Z,602.3611652159027,9724243565.575415,-34.2399,0.35635191,-1.06152715,-1.14789927,-8.12557603,-20.3202631,-8.81734227,740528689151.7546,0.4812,817064311669.3027,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
13,3890,Polygon,MATIC,polygon,939,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-17T09:28:00.000Z,76.12144206854008,25293696940.40987,-13.5457,0.2613233,-0.74116181,-0.79444604,-9.45422105,-29.28717325,-12.4072148,709411424867.1238,0.4609,761214420685.614,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
14,2,Litecoin,LTC,litecoin,999,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73662726.72743528,84000000.0,False,,15,,,,2023-09-17T09:28:00.000Z,9334.73577396364,32627016088.872112,-23.5181,0.49564326,-1.66217985,4.16501305,-1.8099481,-30.76578822,-16.93465131,687622090390.2979,0.4468,784117805013.2551,,2023-09-17T09:29:05.000Z,,,,,,2023-09-17 12:30:06.679659
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1373,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,162974.76175269,162974.76175269,False,,16,,,,2023-09-17T09:28:00.000Z,3863469.4091364974,15980486176.921844,-43.7231,0.11604047,0.03965732,2.78482242,-0.01957653,-11.43316557,0.58466459,629648006492.8267,0.4091,629648006492.6139,,2023-09-17T09:29:05.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-09-17 12:30:06.679659
16,5994,Shiba Inu,SHIB,shiba-inu,659,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,17,,,,2023-09-17T09:28:00.000Z,0.0010609901504050198,8743214914.765388,-18.0278,-0.00974627,-2.11555275,-1.90161514,-13.31940144,-5.59530974,0.91867976,625291271595.3954,0.4063,625548164480.1427,,2023-09-17T09:29:05.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-09-17 12:30:06.679659
